Name,Company,Price,Star_Rating,Number_of_Ratings,Number_of_Reviews,Processor,RAM,Operating_System,Storage,Warranty
Lenovo IdeaPad Slim 5 2.5K IPS Intel Core i5 13th Gen 13500H - (16 GB/1 TB SSD/Windows 11 Home) 16IRL8...,Lenovo,73490.0,4.2,542.0,63.0,Intel Core i5 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11,1.0,1.0
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...",ASUS,30990.0,4.3,7686.0,606.0,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512.0,1.0
HP Intel Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) 15s- fr4000TU Thin and Ligh...,HP,49848.0,4.3,3992.0,275.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11,512.0,1.0
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Ho...",DELL,51400.0,4.2,963.0,54.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,64 bit Windows 11,512.0,1.0
Primebook 2 Neo (2025) in-Built AI MediaTek Helio G99 (MT8781) - (6 GB/128 GB/Android 15) PBG9911128#B...,Primebook,14990.0,4.4,146.0,52.0,MediaTek Helio G99 (MT8781) Processor,6 GB LPDDR4 RAM,64 bit Android,512.0,1.0
"ASUS Vivobook 15 (2025)(i5 14th Gen)with MSO 2024 + M365 Basic, Backlit Keyboard, Intel Core 5 120U - ...",ASUS,50990.0,4.3,1033.0,78.0,Intel Core 5 Processor,16 GB DDR4 RAM,Windows 11 Home,512.0,1.0
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-062IN Thi...,MSI,41990.0,4.4,4817.0,540.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11,512.0,1.0
Samsung Galaxy Book 4 14th Gen with Fingerprint Reador Intel Core 5 14th Gen 120U - (16 GB/512 GB SSD/...,Samsung,52990.0,4.3,26.0,3.0,Intel Core 5 Processor (14th Gen),16 GB LPDDR4X RAM,Windows 11 Pro,512.0,1.0
ASUS Expertbook Intel Core i5 13th Gen 13420H - (32 GB/512 GB SSD/Windows 11 Home) P1503CVA-S71075WS T...,ASUS,58990.0,4.2,165.0,9.0,Intel Core i5 Processor (13th Gen),32 GB DDR5 RAM,Windows 11 Home,512.0,1.0
Acer NITRO LITE 16 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,Acer,59999.0,4.6,26.0,4.0,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,64 bit Windows 11 Home,512.0,1.0
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Hom...",DELL,46490.0,4.2,1272.0,77.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11,512.0,1.0
HP 250R G9 Intel Core i3 13th Gen i3-1315U up to 4.5 GHz with Intel Turbo Boost - (16 GB/512 GB SSD/Wi...,HP,37661.0,4.0,284.0,14.0,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,64 bit Windows 11,512.0,1.0
"Acer Aspire Lite with Backlit Keyboard, Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Ho...",Acer,50850.0,4.3,89.0,6.0,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512.0,1.0
HP 15s Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0006TU / 15-fd0569TU Thin...,HP,34990.0,4.2,627.0,44.0,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,64 bit Windows 11,512.0,1.0
Acer 3 Years Warranty Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (24 GB/512 GB SSD/Windows 11 Home...,Acer,37990.0,4.4,8.0,1.0,Intel Core i3 Processor (13th Gen),24 GB DDR4 RAM,"Microsoft Office 2021, Windows 11 Home",512.0,3.0
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i5 13th Gen 1335U...",ASUS,47990.0,4.6,48.0,3.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512.0,1.0
DELL 15 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light Laptop,DELL,50990.0,4.1,23.0,1.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,64 bit Windows 11,512.0,1.0
ASUS Expertbook P1 High-performance processor Intel Core i7 13th Gen 13620H - (32 GB/512 GB SSD/Window...,ASUS,72990.0,4.3,699.0,53.0,Intel Core i7 Processor (13th Gen),32 GB DDR5 RAM,Windows 11 Home,512.0,1.0
HP Victus AMD Ryzen 7 Hexa Core 7445HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,HP,63990.0,4.4,590.0,36.0,AMD Ryzen 7 Hexa Core Processor,16 GB DDR5 RAM,Windows 11 Home,512.0,1.0
Lenovo V 14 (2025) Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) V 14 Thin and Lig...,Lenovo,35990.0,4.3,42.0,2.0,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,"Microsoft Office 2021, Windows 11 Home",512.0,1.0
Acer Swift Neo Intel Core Ultra 5 115U - (16 GB/512 GB SSD/Windows 11 Home) SFN14-54H Thin and Light L...,Acer,54990.0,4.1,1610.0,146.0,Intel Core Ultra 5 Processor,16 GB LPDDR5 RAM,64 bit Windows 11 Home,512.0,1.0
Lenovo LOQ Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,Lenovo,78990.0,4.3,2436.0,189.0,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11,512.0,1.0
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,MSI,66799.0,4.3,728.0,66.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512.0,2.0
HP AMD Ryzen 7 Octa Core 5825U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0476AU Thin and Light Laptop,HP,51990.0,4.1,291.0,19.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11 Home,512.0,1.0
Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,Primebook,24990.0,4.2,3203.0,933.0,MediaTek MT8788 Processor,4 GB LPDDR4 RAM,Android,512.0,1.0
DELL Inspiron 15 With MSO'2024 & Backlit KB Intel Core i5 13th Gen 1334U - (16 GB/1 TB SSD/Windows 11 ...,DELL,56937.0,4.2,963.0,54.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,1.0,1.0
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...",ASUS,38990.0,4.3,2667.0,160.0,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512.0,1.0
Apple MacBook Air M4 - (16 GB/512 GB SSD/macOS Sequoia) MC7C4HN/A,Apple,135299.0,5.0,5.0,0.0,Apple M4 Processor,16 GB Unified Memory RAM,Mac OS,512.0,1.0
DELL Inspiron 5440 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5...,DELL,38990.0,3.9,163.0,11.0,Intel Core i3 Processor (13th Gen),16 GB DDR5 RAM,"Microsoft Office 2021, Windows 11 Home",512.0,1.0
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (8 GB/256 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,Acer,26491.0,4.1,100.0,9.0,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,Windows 11,256.0,1.0
HP Pavilion Intel Core i5 13th Gen 1335U - (16 GB/1 TB SSD/Windows 11 Home) 15-eg3018TU Thin and Light...,HP,64352.0,4.3,1650.0,107.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,1.0,1.0
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-439IN /...,MSI,49990.0,4.3,1614.0,157.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512.0,1.0
MSI Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1299IN Thin and ...,MSI,42990.0,4.3,1614.0,157.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512.0,1.0
ASUS Chromebook CX15 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1505CKA-S70...,ASUS,14999.0,3.9,59.0,2.0,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,Chrome,512.0,1.0
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Hom...",DELL,48688.0,4.2,963.0,54.0,Intel Core i5 Processor (13th Gen),8 GB DDR4 RAM,64 bit Windows 11,512.0,1.0
HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,HP,65990.0,4.3,452.0,33.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512.0,1.0
Acer Aspire Lite Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Li...,Acer,50938.0,3.8,268.0,13.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512.0,1.0
Lenovo LOQ 2025 Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,Lenovo,115990.0,4.4,70.0,7.0,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Home,1.0,1.0
Lenovo Lenovo V15 G3 IAP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 82TTA07RIH ...,Lenovo,46940.0,4.1,258.0,26.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512.0,1.0
ASUS Vivobook Go 15 Intel Core i3 N305 - (8 GB/512 GB SSD/Windows 11 Home) E1504GA-NJ3321WS Thin and L...,ASUS,30990.0,3.2,6.0,0.0,Intel Core i3 Processor,8 GB DDR4 RAM,Windows 11 Home,512.0,1.0
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ133WS | ...,ASUS,34890.0,4.2,2521.0,164.0,AMD Ryzen 5 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11,512.0,1.0
HP Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0569TU Thin and Light Laptop,HP,34990.0,4.3,31.0,1.0,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512.0,1.0
MSI Thin A15 AMD Ryzen 7 Octa Core 7735HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,MSI,103990.0,4.5,22.0,5.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11,1.0,2.0
MSI Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1400IN Business L...,MSI,55990.0,4.4,353.0,35.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512.0,1.0
Lenovo V 14 (2025) Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Pro) V14 Thin and Ligh...,Lenovo,48999.0,4.6,8.0,0.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,"Microsoft Office 2021, Windows 11 Pro",512.0,1.0
Acer Nitro V 15 Intel Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForc...,Acer,89999.0,4.3,41.0,5.0,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,64 bit Windows 11 Home,512.0,1.0
ASUS Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0395 ...,ASUS,24199.0,3.8,2996.0,259.0,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome,512.0,1.0
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,Acer,51299.0,4.2,3877.0,306.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512.0,1.0
Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDI...,Acer,102099.0,4.4,1352.0,112.0,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11,1.0,1.0
"HP OmniBook 5 Flip with Touchscreen, Backlit Keyboard & MSO'2024, Intel Core i5 13th Gen 1334U - (16 G...",HP,65990.0,4.2,14.0,0.0,Intel Core i5 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11 Home,512.0,1.0
Lenovo V15 AMD Ryzen 3 Quad Core 7th Gen 7320U - (8 GB/512 GB SSD/Windows 11 Home/1 GB Graphics) V15 G...,Lenovo,30499.0,4.0,227.0,20.0,AMD Ryzen 3 Quad Core Processor (7th Gen),8 GB DDR5 RAM,64 bit Windows 11,512.0,1.0
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,MSI,58990.0,4.3,1530.0,116.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512.0,2.0
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin an...,Lenovo,48490.0,4.2,2608.0,131.0,Intel Core i5 Processor (12th Gen),8 GB LPDDR5 RAM,Windows 11,512.0,1.0
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",ASUS,39990.0,4.3,2667.0,160.0,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512.0,1.0
DELL 15 Intel Core i5 1334U - (16 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light Laptop,DELL,52919.0,4.1,61.0,3.0,Intel Core i5 Processor,16 GB DDR4 RAM,Windows 11,512.0,1.0
HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,HP,32855.0,4.3,5922.0,474.0,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11,512.0,1.0
Lenovo IdeaPad Slim 1 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and ...,Lenovo,34990.0,4.0,417.0,24.0,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11,512.0,2.0
HP G9 SERIES AMD Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 11 Home) 255 Thin and Light Laptop,HP,25150.0,4.0,87.0,6.0,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,Windows 11,256.0,1.0
DELL 14 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Pro) 14 Thin and Light Lapt...,DELL,39499.0,4.3,166.0,10.0,Intel Core i3 Processor (13th Gen),16 GB DDR5 RAM,"Microsoft Office 2021, Windows 11 Pro",512.0,1.0
MSI Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1401IN Business L...,MSI,30990.0,4.2,84.0,10.0,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512.0,1.0
MSI Thin A15 AMD Ryzen 7 Octa Core 7735HS - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,MSI,111990.0,4.5,11.0,1.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11,1.0,2.0
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ324WS Thin...,ASUS,34990.0,3.7,39.0,2.0,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11,512.0,1.0
DELL Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thin and Light Lap...,DELL,35562.0,4.2,440.0,32.0,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11,512.0,1.0
Lenovo LOQ Essential Intel Core i5 12th Gen 12450HX - (12 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,Lenovo,59490.0,4.2,194.0,16.0,Intel Core i5 Processor (12th Gen),12 GB DDR5 RAM,Windows 11 Home,512.0,1.0
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) 16IRL8 Thin a...,Lenovo,78490.0,4.2,542.0,63.0,Intel Core i5 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11,512.0,1.0
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,Acer,25499.0,4.2,13449.0,968.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11,512.0,1.0
"DELL 14 Plus Next Gen AI PC Backlit Keyboard, Fingerprint reader Intel Core Ultra 5 226V - (16 GB/512 ...",DELL,72990.0,4.4,190.0,21.0,Intel Core Ultra 5 Processor,16 GB LPDDR5X RAM,Windows 11 Home,512.0,1.0
HP AMD Athlon Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 255 Laptop,HP,27500.0,4.0,1153.0,72.0,AMD Athlon Dual Core Processor,8 GB LPDDR4 RAM,Windows 11,256.0,1.0
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",ASUS,50391.0,4.2,74.0,6.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512.0,1.0
HP Professional Intel Core i5 13th Gen 1334U Turbo Boost Finger Print - (32 GB/512 GB SSD/Windows 11 P...,HP,56990.0,3.9,41.0,7.0,Intel Core i5 Processor (13th Gen),32 GB DDR4 RAM,"Windows 11 Pro, Microsoft Office 2021 Pro",512.0,1.0
Lenovo IdeaPad Slim 5 WUXGA IPS Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 16I...,Lenovo,57480.0,4.2,710.0,60.0,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11,512.0,1.0
MSI Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO-1049IN Business ...,MSI,34990.0,4.2,84.0,10.0,Intel Core i3 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512.0,1.0
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,CHUWI,18990.0,3.7,1801.0,210.0,Intel Celeron Dual Core Processor (11th Gen),8 GB DDR4 RAM,"WPS Office,  Software",256.0,1.0
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A315-59-36HE Thin and L...,Acer,33990.0,4.3,867.0,59.0,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512.0,1.0
Ultimus APEX BOLD N Intel Pentium Quad Core N4200 - (8 GB/256 GB SSD/Windows 11 Home) NU14U9INC54LS-CS...,Ultimus,16490.0,4.2,281.5,24.0,Intel Pentium Quad Core Processor,8 GB DDR3 RAM,Pre loaded windows APP,256.0,1.0
HP Laptop Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15s-fy5010TU Thin and Light...,HP,37900.0,4.3,6489.0,376.0,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Home,256.0,1.0
Primebook 4G Android based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,Primebook,13490.0,4.7,22.0,9.0,MediaTek MT8788 Processor,4 GB LPDDR4 RAM,64 bit Prime OS,512.0,1.0
ASUS VivoBook 15 Intel Core i5 8th Gen 8250U - (8 GB/1 TB HDD/Windows 10 Home) X540UA-DM2124T Laptop,ASUS,46700.0,4.1,1839.0,235.0,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10,1.0,1.0
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15IAU7 Thin and...,Lenovo,37999.0,4.2,1301.0,91.0,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,256.0,1.0
Primebook Wifi MediaTek MT8183 - (4 GB/64 GB EMMC Storage/Prime OS) PB Wifi Thin and Light Laptop,Primebook,17399.0,4.2,3424.0,859.0,MediaTek MT8183 Processor,4 GB LPDDR4 RAM,Android,512.0,1.0
Primebook S Wifi MediaTek MT8183 - (4 GB/128 GB EMMC Storage/Prime OS) PB S Wifi Thin and Light Laptop,Primebook,18399.0,4.1,1458.0,408.0,MediaTek MT8183 Processor,4 GB LPDDR4 RAM,Android,512.0,1.0
DELL Latitude 3550 (2025) Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Pro) Latitude 35...,DELL,39800.0,4.0,31.0,2.0,Intel Core i3 Processor (13th Gen),16 GB DDR5 RAM,"Microsoft Office 2021, Windows 11 Pro",512.0,1.0
DELL MSO'2021 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop ...,DELL,37990.0,4.2,2686.0,271.0,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11,512.0,1.0
Lenovo V15 Series AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) V15 Thin and Light L...,Lenovo,35675.0,3.9,55.0,10.0,AMD Ryzen 5 Quad Core Processor,8 GB DDR5 RAM,Windows 11,512.0,1.0
Lenovo IdeaPad 5 2-in-1 WUXGA IPS Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 1...,Lenovo,73999.0,4.5,61.0,5.0,Intel Core i5 Processor (13th Gen),16 GB LPDDR5X RAM,Windows 11,512.0,1.0
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...",ASUS,34990.0,4.3,7065.0,508.0,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512.0,1.0
CHUWI Intel Core i3 12th Gen Intel Core i3-1215U - (12 GB/512 GB SSD/Windows 11 Home) FreeBook 2 in 1 ...,CHUWI,37990.0,4.0,186.0,41.0,Intel Core i3 Processor (12th Gen),12 GB LPDDR4 RAM,Software,512.0,1.0
MSI Modern 14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-445IN / ...,MSI,33290.0,4.4,1518.0,163.0,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512.0,1.0
Lenovo IdeaPad 1 AMD Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15ADA7 Thin and Light...,Lenovo,31890.0,4.1,1092.0,91.0,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11,512.0,1.0
DELL Inspiron 3530 Intel Core i3 13th Gen 1305U - (8 GB/1 TB SSD/Windows 11 Home) Inspiron 3530 Thin a...,DELL,42490.0,4.1,310.0,20.0,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,"Windows 11, Microsoft Office, Antivirus Macafee 15 Months",1.0,1.0
HP HP OmniBook X Flip (Previously Envy) Intel Core Ultra 7 258V - (32 GB/1 TB SSD/Windows 11 Home/16 G...,HP,145399.0,4.3,3.0,1.0,Intel Core Ultra 7 Processor,32 GB LPDDR5X RAM,Windows 11 Home,1.0,1.0
Lenovo IdeaPad Slim 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) 15IRU8 Thin and...,Lenovo,35778.0,4.1,152.0,13.0,Intel Core i3 Processor (13th Gen),8 GB LPDDR5 RAM,Windows 11,512.0,1.0
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 H...",ASUS,38990.0,4.3,7065.0,508.0,Intel Core i3 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Home,512.0,1.0
DELL Latitude 3550 (2025) Intel Core i3 13th Gen 1315U - (24 GB/512 GB SSD/Windows 11 Home) Latitude 3...,DELL,42990.0,4.2,281.5,24.0,Intel Core i3 Processor (13th Gen),24 GB DDR5 RAM,"Microsoft Office 2021, Windows 11 Home",512.0,1.0
DELL Latitude 3440 (2025) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Latitude 34...,DELL,33590.0,3.4,12.0,2.0,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,"Microsoft Office 2021, Windows 11 Home",512.0,1.0
DELL Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light Laptop,DELL,36990.0,4.2,276.0,25.0,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11,512.0,1.0
Lenovo IdeaPad Slim 3 WUXGA IPS Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 15I...,Lenovo,57990.0,4.3,98.0,3.0,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Home,512.0,1.0
Lenovo Yoga Pro 7 2.8K OLED AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graph...,Lenovo,139990.0,3.0,4.0,0.0,Intel Core Ultra 7 Processor,16 GB LPDDR5X RAM,Windows 11 Home,1.0,1.0
Lenovo V 14 (2025) Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) V 14 Thin and Lig...,Lenovo,56990.0,4.2,281.5,24.0,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,"Microsoft Office 2021, Windows 11 Home",512.0,1.0
Lenovo V14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) V 14 Thin and Light Lapto...,Lenovo,48990.0,4.1,1176.0,83.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512.0,1.0
Samsung Galaxy Book4 Intel Core 5 120U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGK-KG1IN / NP750XGK-L...,Samsung,62719.0,4.4,386.0,32.0,Intel Core 5 Processor,8 GB LPDDR4X RAM,Windows 11,512.0,1.0
